Month	Day	Hour	wtr	CO2dep	O2dep
7	25	10	18.985	63.01943927	-10.31548445
7	25	12	20.817	58.99142904	-4.042065916
7	25	14	22.705	53.92961218	3.408403457
7	25	16	24.05	52.10363979	14.58987231
7	25	18	23.448	58.14940372	8.783653726
7	25	20	23.256	52.8244924	10.45048889
7	25	22	22.417	52.79417354	3.844211978
7	26	0	21.246	55.83454927	-4.990526927
7	26	2	20.579	56.63499021	-8.841929404
7	26	4	19.888	55.92981556	-12.25360872
7	26	6	19.413	56.32706832	-23.81940517
7	26	8	20.65	57.08792256	-7.717088108
7	26	10	21.795	56.64571107	-2.140349675
7	26	12	22.705	51.43455827	4.246555792
7	26	14	24.002	50.97586873	8.87756813
7	26	16	25.162	51.34884608	14.45489296
7	26	18	24.944	46.68452456	12.89093061
7	26	20	24.75	42.17452931	12.25952911
7	26	22	24.05	42.53993021	1.576742558
7	27	0	22.681	48.19722281	-3.356695413
7	27	2	22.226	48.0339613	-10.0931701
7	27	4	21.461	50.566045	-13.11600179
7	27	6	20.865	53.73775532	-23.80217275
7	27	8	21.27	50.93705984	-12.69758494
7	27	10	21.628	54.56204038	-9.109703864
7	27	12	22.13	47.64624958	-5.543034394
7	27	14	23.136	42.8819454	0.764878793
7	27	16	23.424	44.27820783	1.011714596
7	27	18	22.944	43.98136349	-2.212045989
7	27	20	22.609	44.32498461	-4.556547557
7	27	22	22.13	45.9657469	-12.47187316
7	28	0	21.724	48.5082065	-14.18449644
7	28	2	21.199	48.72142451	-20.96208021
7	28	4	20.77	52.75117199	-24.70593488
7	28	6	20.555	53.11181985	-22.95643192
7	28	8	20.96	49.65396417	-18.14543705
7	28	10	21.413	47.54682992	-16.5560597
7	28	12	21.509	46.82716702	-16.60870676
7	28	14	22.848	43.95834027	-12.15653224
7	28	16	23.208	40.21553478	-10.25779306
7	28	18	23.16	40.82420219	-11.62322186
7	28	20	22.824	40.13021368	-12.16212795
7	28	22	22.274	42.78090374	-17.19171538
7	29	0	21.772	44.10981958	-16.15681056
7	29	2	21.485	47.95552733	-21.59180832
7	29	4	20.96	48.87114341	-26.72211102
7	29	6	20.817	49.87273782	-21.55799586
7	29	8	20.627	47.38610637	-25.77582523
7	29	10	20.293	45.07243368	-28.97703218
7	29	12	20.007	49.11482045	-32.25260802
7	29	14	19.651	51.85102556	-35.41635939
7	29	16	19.555	48.3927391	-38.05192186
7	29	18	19.436	52.1838597	-38.33579509
7	29	20	19.246	52.51794034	-49.73840708
7	29	22	19.222	53.53999774	-36.4570938
7	30	0	19.103	54.82056825	-42.60807288
7	30	2	18.913	53.81737628	-45.5837292
7	30	4	18.771	55.62833384	-41.41457689
7	30	6	18.723	58.0022953	-47.25268847
7	30	8	18.699	56.83963715	-44.45447061
7	30	10	18.794	54.08178429	-41.85736829
7	30	12	18.889	54.61160195	-42.42216248
7	30	14	18.985	53.21922614	-44.36884266
7	30	16	18.913	54.0632015	-46.2209022
7	30	18	18.794	51.83704781	-42.76841969
7	30	20	18.628	50.48562903	-46.81909381
7	30	22	18.438	48.41936377	-51.26225763
7	31	0	18.271	52.11036815	-42.83438178
7	31	2	18.01	46.73909428	-50.13905758
7	31	4	17.772	49.52575745	-52.29272418
7	31	6	17.558	51.93567165	-25.0957756
7	31	8	17.344	54.41069574	-26.9780572
7	31	10	17.463	53.73386516	-26.23757945
7	31	12	17.629	61.50621443	-47.71934274
7	31	14	18.557	56.05224757	-42.66391794
7	31	16	18.675	55.05545813	-30.93521934
7	31	18	18.937	52.95703496	-30.93489044
7	31	20	18.675	55.24205163	-38.98948813
7	31	22	18.366	57.49543368	-38.18639564
8	1	0	18.105	58.7902645	-36.62757802
8	1	2	17.891	61.43474242	-40.26611117
8	1	4	17.748	62.55642673	-43.00025793
8	1	6	17.653	61.13048515	-40.60904133
8	1	8	17.605	60.94223181	-44.74449644
8	1	10	17.891	58.8469224	-47.60142814
8	1	12	19.603	50.62224539	-30.42344866
8	1	14	21.485	52.37658851	-26.99360159
8	1	16	21.891	53.81822806	-20.4776737
8	1	18	21.819	52.92969794	-24.96687129
8	1	20	21.509	55.57517669	-25.97064353
8	1	22	21.056	57.50687443	-27.6506795
8	2	0	19.793	55.3603241	-23.24182737
8	2	2	18.985	54.20222973	-22.69151009
8	2	4	18.39	54.30933546	-22.44308491
8	2	6	18.2	50.97746692	-23.67443908
8	2	8	18.414	50.44104843	-28.8084696
8	2	10	18.866	49.47496464	-32.97224896
8	2	12	20.722	45.22452546	-20.50881809
8	2	14	21.366	45.03206771	-25.72830628
8	2	16	22.082	43.72396078	-24.25135218
8	2	18	22.8	46.27422411	-16.51746843
8	2	20	22.25	52.61007169	-30.77618854
8	2	22	21.413	60.218291	-29.84329748
8	3	0	20.484	61.46191141	-36.41738567
8	3	2	19.722	60.71643302	-48.30707284
8	3	4	18.985	60.28014867	-48.419776
8	3	6	18.58	57.2844428	-48.65955063
8	3	8	19.436	53.30488763	-40.70825387
8	3	10	19.936	57.78570102	-35.94720664
8	3	12	18.675	61.84464905	-45.36958266
8	3	14	20.436	59.71930734	-30.25359806
8	3	16	20.817	52.82115393	-32.65721729
8	3	18	20.865	51.78069581	-33.40385351
8	3	20	20.46	53.99938283	-35.96641356
8	3	22	19.984	59.79101717	-41.68478008
8	4	0	19.603	60.07064797	-43.64151299
8	4	2	19.175	65.34275879	-47.12663235
8	4	4	18.889	63.39242507	-54.92839276
8	4	6	18.818	60.99657036	-55.44689644
8	4	8	19.127	60.52374542	-56.64488197
8	4	10	19.532	61.54229397	-51.45018964
8	4	12	20.531	42.6500805	-46.4899364
8	4	14	21.891	42.23627742	-34.27752628
8	4	16	22.393	37.70019961	-32.87883578
8	4	18	22.417	46.91536333	-40.81059162
8	4	20	21.987	53.77222994	-35.43618399
8	4	22	21.581	60.13276449	-39.29622397
8	5	0	20.722	61.70664262	-50.12679497
8	5	2	20.174	66.56608268	-57.32723071
8	5	4	19.532	65.34725038	-57.26058906
8	5	6	19.555	62.4035114	-52.57924102
8	5	8	19.817	60.35371622	-50.84096903
8	5	10	20.531	59.87965843	-48.5246058
8	5	12	21.843	33.43916686	-40.26110936
8	5	14	22.848	33.76608459	-37.83591512
8	5	16	23.472	45.83370207	-33.71771185
8	5	18	23.328	47.90761134	-35.1293695
8	5	20	22.824	51.3059704	-43.7554973
8	5	22	22.13	57.45101713	-51.46852806
8	6	0	21.461	59.96370284	-55.88182222
8	6	2	20.793	61.84534905	-63.6210882
8	6	4	20.174	64.45756559	-60.21426822
8	6	6	19.722	64.24532742	-64.27988633
8	6	8	19.912	55.37398159	-62.71416905
8	6	10	19.912	64.86136471	-69.59119619
8	6	12	20.722	49.32934328	-57.89881555
8	6	14	21.533	44.98499633	-54.757201
8	6	16	21.939	46.14741472	-52.77961219
8	6	18	21.246	52.79050841	-58.27044176
8	6	20	20.96	54.95525152	-55.74657689
8	6	22	20.627	60.44538299	-55.95111716
8	7	0	20.246	58.91755658	-63.00177345
8	7	2	19.841	62.01451517	-66.94206653
8	7	4	19.555	61.4685791	-71.84633958
8	7	6	19.27	60.69199831	-69.89752307
8	7	8	19.175	58.92650073	-72.27908754
8	7	10	19.222	56.30745036	-70.03496368
8	7	12	19.389	50.4824017	-71.14920868
8	7	14	19.793	53.72183088	-68.60986699
8	7	16	20.317	51.65485612	-68.19330076
8	7	18	20.793	50.12638096	-64.56329721
8	7	20	19.651	60.55114412	-30.00756013
8	7	22	19.555	63.38915631	-43.94146399
8	8	0	19.08	60.19701818	-34.38777689
8	8	2	18.343	68.32057914	-39.03737045
8	8	4	18.176	63.16874693	-34.83753977
8	8	6	17.724	66.0323282	-38.6065457
8	8	8	17.558	69.37090196	-42.62072117
8	8	10	17.962	65.94185746	-40.53169198
8	8	12	18.295	65.8863605	-36.07097799
8	8	14	18.961	60.43132023	-30.24502655
8	8	16	19.46	53.97611916	-28.12748714
8	8	18	19.579	57.64170139	-37.17656056
8	8	20	19.484	64.02437001	-40.44461594
8	8	22	19.056	79.03996318	-40.00402434
8	9	0	18.699	80.80803105	-46.85136436
8	9	2	18.414	81.73067283	-43.18813981
8	9	4	18.01	73.32367986	-35.72124629
8	9	6	17.653	74.11510451	-38.2023636
8	9	8	17.486	68.93100051	-38.34411975
8	9	10	17.653	64.51512692	-36.7388876
8	9	12	18.2	58.59470829	-34.54040062
8	9	14	18.509	59.54065736	-38.49939879
8	9	16	18.414	66.19825621	-38.52571449
8	9	18	18.461	70.39896271	-43.53309941
8	9	20	18.295	73.5511373	-44.26986123
8	9	22	18.129	74.41156596	-45.72936422
8	10	0	17.938	67.47190867	-44.20269988
8	10	2	17.724	70.48966028	-37.49704038
8	10	4	17.558	68.18000954	-41.66911822
8	10	6	17.463	70.23780488	-47.01359468
8	10	8	17.463	67.84562621	-41.6642428
8	10	10	17.986	64.92076507	-39.07737585
8	10	12	18.01	64.9657634	-39.77868107
8	10	14	18.105	65.8462644	-38.79193493
8	10	16	18.129	67.71564939	-42.40793016
8	10	18	17.986	69.6646182	-47.45825668
8	10	20	17.843	66.92518193	-45.94183897
8	10	22	17.653	67.00743251	-48.60137134
8	11	0	17.439	70.19021391	-50.46002069
8	11	2	17.272	70.48231044	-46.89022233
8	11	4	17.13	71.22634522	-47.67276322
8	11	6	17.011	64.32561072	-46.89270093
8	11	8	17.225	67.31652925	-45.22742666
8	11	10	17.439	63.83832775	-47.82735102
8	11	12	17.938	63.09710536	-40.81245088
8	11	14	18.913	58.71360185	-34.81068608
8	11	16	18.818	60.44808029	-36.30576377
8	11	18	18.771	63.10556101	-38.16015367
8	11	20	18.699	57.40756822	-42.42277728
8	11	22	18.319	62.50011845	-45.00069096
8	12	0	17.938	61.24277086	-52.15088674
8	12	2	17.677	60.83576673	-51.84368238
8	12	4	17.415	64.45134054	-59.17656742
8	12	6	17.225	64.7025597	-55.15221958
8	12	8	17.272	68.26444785	-59.39581315
8	12	10	17.677	62.74643082	-57.17011923
8	12	12	19.365	54.7728268	-43.90425316
8	12	14	19.936	49.83879803	-39.90180966
8	12	16	20.365	53.44825284	-39.77107962
8	12	18	20.103	54.06470096	-40.93612022
8	12	20	19.436	55.01752499	-44.35952278
8	12	22	19.08	59.0535501	-49.99320233
8	13	0	18.604	64.33527393	-42.69584076
8	13	2	18.152	63.19865277	-52.78788031
8	13	4	17.843	60.62525878	-59.62373196
8	13	6	17.534	60.15295205	-50.06000295
8	13	8	17.225	60.23402661	-40.24474736
8	13	10	17.034	61.79002487	-40.69925402
8	13	12	17.011	62.85968293	-36.73614715
8	13	14	17.558	58.06437192	-37.45935036
8	13	16	17.915	59.10325663	-37.37576147
8	13	18	17.843	63.53895566	-40.56057249
8	13	20	17.534	64.06037981	-36.5909699
8	13	22	17.415	65.22872591	-54.94949155
8	14	0	17.177	65.30060025	-55.01969506
8	14	2	17.034	69.01997824	-51.24530069
8	14	4	16.892	68.2875411	-55.86054288
8	14	6	16.749	68.45560957	-41.75591601
8	14	8	16.749	68.33593011	-42.00153791
8	14	10	16.868	69.29191898	-52.38334972
8	14	12	17.867	59.63381606	-49.80316043
8	14	14	17.962	60.93982473	-33.43653946
8	14	16	18.438	60.63434079	-26.00933522
8	14	18	18.105	66.0754141	-69.88528019
8	14	20	17.986	64.31859786	-28.04656647
8	14	22	17.463	67.84471918	-30.04945987
8	15	0	17.177	68.84253623	-30.0036621
8	15	2	16.677	70.7406033	-33.51421085
8	15	4	16.201	71.78755095	-43.91702081
8	15	6	15.796	73.60867793	-49.73485005
8	15	8	15.748	70.94187389	-51.39796467
8	15	10	16.153	69.3700173	-42.68178222
8	15	12	16.511	70.00943945	-41.31189565
8	15	14	16.939	63.12643872	-36.29477898
8	15	16	17.201	64.95964252	-36.0001574
8	15	18	17.439	65.99272186	-33.56469468
8	15	20	17.225	69.49018676	-48.26945739
8	15	22	16.939	74.84674084	-43.53672434
8	16	0	16.582	73.65867867	-46.5379101
8	16	2	16.415	75.43041807	-46.18894901
8	16	4	16.153	77.46385129	-47.02634738
8	16	6	15.915	73.11376222	-49.81153668
8	16	8	16.272	70.37564145	-45.42784251
8	16	10	16.844	69.11615301	-43.6739661
8	16	12	16.868	68.80632367	-42.66347766
8	16	14	17.034	70.1706692	-43.98143932
8	16	16	17.296	66.54153272	-40.54274432
8	16	18	17.368	65.0761207	-43.78422391
8	16	20	17.225	68.83750923	-42.12211008
8	16	22	16.939	77.91184097	-47.79698011
8	17	0	16.844	65.95874826	-46.87468747
8	17	2	16.63	71.22583808	-47.65272777
8	17	4	16.415	75.13531609	-46.92588517
8	17	6	16.249	68.77315721	-46.28506341
8	17	8	16.225	66.44232362	-51.14712412
8	17	10	16.177	66.8230127	-44.86652674
8	17	12	16.677	66.18194505	-40.47453049
8	17	14	17.034	63.54808428	-31.0038538
8	17	16	17.368	60.60027351	-29.807052
8	17	18	17.249	64.82403773	-27.4683514
8	17	20	17.272	63.26383332	-48.58831764
8	17	22	17.058	68.14652804	-49.48257262
8	18	0	16.725	67.87662993	-41.25859243
8	18	2	16.558	70.86840937	-40.35040614
8	18	4	16.415	67.73309662	-38.33752558
8	18	6	16.344	66.04099182	-41.22560689
8	18	8	16.487	62.63326391	-37.1372307
8	18	10	16.558	64.73552522	-54.71028546
8	18	12	16.939	61.41375858	-53.27729112
8	18	14	17.272	60.87849452	-52.7638521
8	18	16	17.225	60.97017248	-47.37396894
8	18	18	17.106	62.79160788	-46.17825777
8	18	20	16.939	65.88412997	-44.30304564
8	18	22	16.773	65.90095416	-36.35715592
8	19	0	16.606	63.54120274	-31.35380709
8	19	2	16.511	63.23886929	-32.70971781
8	19	4	16.463	66.24108269	-32.72155551
8	19	6	16.368	64.10000446	-35.84843042
8	19	8	16.606	63.60509369	-33.16810383
8	19	10	16.82	60.57585782	-33.06799807
8	19	12	17.629	60.66701426	-26.05377855
8	19	14	18.343	60.91521938	-21.6945068
8	19	16	18.842	59.9581829	-21.71619396
8	19	18	18.557	59.91605574	-19.27973326
8	19	20	18.723	63.31433536	-31.72585469
8	19	22	18.033	66.76892568	-36.71544697
8	20	0	17.701	68.73070561	-43.42347894
8	20	2	17.415	67.96869747	-55.58675102
8	20	4	17.13	71.59443361	-47.23317438
8	20	6	16.82	72.65874088	-40.03831552
8	20	8	17.082	70.87418529	-34.71751829
